Available,,Full-Product-Name,Brand,Category,Product,Formula,Cost,Max,"General
Export",Export-Price,Export-Price (Old Price),Negotiation,Thai Market,ราคาลดต่ำสุด,Condition,"Accu
Discount",HS-Code,Thai-Description,NW,CTN-GW,Carton-Dimension,CTN-Width,CTN-Length,CTN-Height,CBM,CTN-Quantity,Maximum-20ft (CTN),Maximum-40ft (CTN),Service-Remarks-1,Service-Remarks-2,Service-Remarks-3,Website-Link,Product-Image,Com-1,Com-2,Com-3,**Old-Price,Thuong Tin,Anna Trading,Namwhan,Humphrey,Memi,Auday,GMG,Ilyas,May Export,Noor,Bopha,Adam&Aud,Muhiadin Ali,Sabaya,Joseph Blasko,Wichai (China),John Larsen,Gena
No,,--- Click to Select a Product ---,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,https://www.carebeau-enjoy.com/,https://lh3.googleusercontent.com/d/1PS-zLtvLZktSF62X2bgjEZ9YeZE7Y5Zb,,,,,,,,,,,,,,,,,,,,,,
Yes,HGEJ-1000-07,Carebeau Milky Developer Cream (1000ml) - 3% Concentrate,Carebeau,Hair Bleaching,Carebeau Milky Developer Cream (1000ml),3% Concentrate,,,75.00,65.00,65.00,63.00,75.00,63.75,"1.ชื้อ 1 โหล ลด8%
2.ชื้อ 3 โหล ลด13%
3.ซื้อ 6 โหล ลด15%",15.00,3305.90.00,ครีมย้อมผม,1.00,13.100,26x34.5x27.3,26.00,34.50,27.30,0.024,12,"1,347","1,984",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-enjoy-milkyoxy-cream,https://lh3.googleusercontent.com/d/18Dn__Is9805GV0qvhOm9E367ACgPv1Ns,63.64,64.29,64.95,65.00,61.75,56.17,60.00,,65.00,,65.00,,69.00,,65.00,65.00,,,,,,
Yes,HGEJ-1000-04,Carebeau Milky Developer Cream (1000ml) - 6% Concentrate,Carebeau,Hair Bleaching,Carebeau Milky Developer Cream (1000ml),6% Concentrate,,,75.00,65.00,65.00,63.00,75.00,63.75,"1.ชื้อ 1 โหลด8%
2.ชื้อ 3 โหลด13%
3.ซื้อ 6 โหลด15%",15.00,3305.90.00,ครีมย้อมผม,1.00,13.100,26x34.5x27.3,26.00,34.50,27.30,0.024,12,"1,347","1,984",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-enjoy-milkyoxy-cream,https://lh3.googleusercontent.com/d/189dtx2W877E-sNAD0z-6RrtRV3z6Ai-1,63.64,64.29,64.95,65.00,61.75,56.17,60.00,,65.00,,65.00,,69.00,,65.00,65.00,,,,,,
Yes,HGEJ-1000-05,Carebeau Milky Developer Cream (1000ml) - 9% Concentrate,Carebeau,Hair Bleaching,Carebeau Milky Developer Cream (1000ml),9% Concentrate,,,75.00,65.00,65.00,63.00,75.00,63.75,"1.ชื้อ 1 โหล ลด8%
2.ชื้อ 3 โหล ลด13%
3.ซื้อ 6 โหล ลด15%",15.00,3305.90.00,ครีมย้อมผม,1.00,13.100,26x34.5x27.3,26.00,34.50,27.30,0.024,12,"1,347","1,984",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-enjoy-milkyoxy-cream,https://lh3.googleusercontent.com/d/187twyQa3uBBebgwXqV8oVo08fagQMiEi,63.64,64.29,64.95,65.00,61.75,56.17,60.00,,65.00,,65.00,,69.00,,65.00,65.00,,,,,,
Yes,HGEJ-1000-06,Carebeau Milky Developer Cream (1000ml) - 12% Concentrate,Carebeau,Hair Bleaching,Carebeau Milky Developer Cream (1000ml),12% Concentrate,,,75.00,65.00,65.00,63.00,75.00,63.75,"1.ชื้อ 1 โหล ลด8%
2.ชื้อ 3 โหล ลด13%
3.ซื้อ 6 โหล ลด15%",15.00,3305.90.00,ครีมย้อมผม,1.00,13.100,26x34.5x27.3,26.00,34.50,27.30,0.024,12,"1,347","1,984",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-enjoy-milkyoxy-cream,https://lh3.googleusercontent.com/d/18EgfATKGgxyUjPsivUpDEB3XMaIQ7vYt,63.64,64.29,64.95,65.00,61.75,56.17,60.00,,65.00,,65.00,,69.00,,65.00,65.00,,,,,,
Yes,HGFS-1000-06,Carebeau Fantasy Cool Developer Cream (1000ml) - 3% Concentrate,Carebeau,Hair Bleaching,Carebeau Fantasy Cool Developer Cream (1000ml),3% Concentrate,,,89.00,70.00,70.00,68.00,89.00,69.42,"1.ซอ ҟื 1 โหล ลดทา้ยบลิ 15% 
2.ซอ ҟื 3 โหล ลดทา้ยบลิ 22%",22.00,3305.90.00,ครีมย้อมผม,1.00,13.100,26x34.5x27.3,26.00,34.50,27.30,0.024,12,"1,347","1,984",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-fantasy-cool-developer-cream,https://lh3.googleusercontent.com/d/11y-xaiDRd5DMUmJeVQ7N0zbKU4lWnMok,68.69,69.39,x,70.00,66.50,60.92,65.00,,70.00,,70.00,,74.00,,70.00,70.00,,,,,,
Yes,HGFS-1000-06,Carebeau Fantasy Cool Developer Cream (1000ml) - 6% Concentrate,Carebeau,Hair Bleaching,Carebeau Fantasy Cool Developer Cream (1000ml),6% Concentrate,,,89.00,70.00,70.00,68.00,89.00,69.42,"1.ซอ ҟื 1 โหล ลดทา้ยบลิ 15% 
2.ซอ ҟื 3 โหล ลดทา้ยบลิ 22%",22.00,3305.90.00,ครีมย้อมผม,1.00,13.100,26x34.5x27.3,26.00,34.50,27.30,0.024,12,"1,347","1,984",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-fantasy-cool-developer-cream,https://lh3.googleusercontent.com/d/11qzGV14b2py44cOYMMQqV7UDAEqd5MKj,68.69,69.39,x,70.00,66.50,60.92,65.00,,70.00,,70.00,,74.00,,70.00,70.00,,,,,,
Yes,HGFS-1000-07,Carebeau Fantasy Cool Developer Cream (1000ml) - 9% Concentrate,Carebeau,Hair Bleaching,Carebeau Fantasy Cool Developer Cream (1000ml),9% Concentrate,,,89.00,70.00,70.00,68.00,89.00,69.42,"1.ซอ ҟื 1 โหล ลดทา้ยบลิ 15% 
2.ซอ ҟื 3 โหล ลดทา้ยบลิ 22%",22.00,3305.90.00,ครีมย้อมผม,1.00,13.100,26x34.5x27.3,26.00,34.50,27.30,0.024,12,"1,347","1,984",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-fantasy-cool-developer-cream,https://lh3.googleusercontent.com/d/13ZQIPVXC-5I0pFfLwz4cy-HxunV_RWEK,68.69,69.39,x,70.00,66.50,60.92,65.00,,70.00,,70.00,,74.00,,70.00,70.00,,,,,,
Yes,HGFS-1000-08,Carebeau Fantasy Cool Developer Cream (1000ml) - 12% Concentrate,Carebeau,Hair Bleaching,Carebeau Fantasy Cool Developer Cream (1000ml),12% Concentrate,,,89.00,70.00,70.00,68.00,89.00,69.42,"1.ซอ ҟื 1 โหล ลดทา้ยบลิ 15% 
2.ซอ ҟื 3 โหล ลดทา้ยบลิ 22%",22.00,3305.90.00,ครีมย้อมผม,1.00,13.100,26x34.5x27.3,26.00,34.50,27.30,0.024,12,"1,347","1,984",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-fantasy-cool-developer-cream,https://lh3.googleusercontent.com/d/121TSQ7Wi3fMmxmsmr-Z-HYNXbGXdcm-v,68.69,69.39,x,70.00,66.50,60.92,65.00,,70.00,,70.00,,74.00,,70.00,70.00,,,,,,
Yes,SPCB-30-25,Carebeau Hair Color Shampoo (30ml) - Black,Carebeau,Hair Dye,Carebeau Hair Color Shampoo (30ml),Black,10,11,30.00,30.00,30.00,26.00,32.00,27.04,"รายการสั่งซื้อ
1.ซื้อ 6 โหล ลดท้ายบิล 3%
2.ซื้อ 12 โหล ลดท้ายบิล 5%
3.ซื้อ 24 โหล ลดท้ายบิล 8%
4.ชื้อ 36 โหล ลดท้ายบิล 10%
",10.00,3305.10.90,แชมพูปิดผมขาว,0.05,9.978,25x34x33.5,25.00,34.00,33.50,0.028,144,"1,158","2,107",,,,https://www.carebeau-enjoy.com/menu-items/carebeau-hair-color-shampoo,https://lh3.googleusercontent.com/d/13dVnZL4jUlKo4nD9YtrV16QhazaJ8xJ8,26.26,26.53,26.80,30.00,30.00,28.36,30.00,,30.00,,30.00,,32.00,,30.00,30.00,,,,,,
